id_nivel,elemento,estado_ionizacion,espectro,configuracion,termino,j_valor,j_texto,j_resuelto,g,energia_ev,energia_interpolada,incertidumbre_ev,referencia
002001.000121,He,1,He I,1s.8i,3I,5.0,5,True,11.0,24.37482835175535,True,2.5e-13,L22715c200
002001.000122,He,1,He I,1s.8i,1I,6.0,6,True,13.0,24.37482837948752,True,2.5e-13,L22715c200
002001.000123,He,1,He I,1s.8k,3K*,7.0,7,True,15.0,24.37482875537896,True,2.5e-13,L22715c200
002001.000124,He,1,He I,1s.8k,3K*,8.0,8,True,17.0,24.37482878370663,True,2.5e-13,L22715c200
002001.000125,He,1,He I,1s.8k,3K*,6.0,6,True,13.0,24.37482880965292,True,2.5e-13,L22715c200
002001.000126,He,1,He I,1s.8k,1K*,7.0,7,True,15.0,24.3748288311374,True,2.5e-13,L22715c200
002001.000127,He,1,He I,1s.8p,1P*,1.0,1,True,3.0,24.37546669735,True,2.1e-11,L22715c200
002001.000128,He,1,He I,1s.9s,3S,1.0,1,True,3.0,24.40777537914,True,2.1e-10,L22715c200
002001.000129,He,1,He I,1s.9s,1S,0.0,0,True,1.0,24.41408807749,True,2.1e-10,L22715c200
002001.000130,He,1,He I,1s.9p,3P*,2.0,2,True,5.0,24.41686888593,True,8e-11,L22715c200
002001.000131,He,1,He I,1s.9p,3P*,1.0,1,True,3.0,24.41686897915,True,8e-11,L22715c200
002001.000132,He,1,He I,1s.9p,3P*,0.0,0,True,1.0,24.41687012452,True,8e-11,L22715c200
002001.000133,He,1,He I,1s.9d,3D,3.0,3,True,7.0,24.419335565023,True,5e-12,"L22715c200,L21466"
002001.000134,He,1,He I,1s.9d,3D,2.0,2,True,5.0,24.419335579246,True,5e-12,"L22715c200,L21466"
002001.000135,He,1,He I,1s.9d,3D,1.0,1,True,3.0,24.41933577972,True,5e-12,"L22715c200,L21466"
002001.000136,He,1,He I,1s.9d,1D,2.0,2,True,5.0,24.41936311728,True,4e-12,"L22715c200,L21466"
002001.000137,He,1,He I,1s.9f,3F*,3.0,3,True,7.0,24.4194246464065,True,9e-13,L22715c200
002001.000138,He,1,He I,1s.9f,3F*,4.0,4,True,9.0,24.419424697554,True,9e-13,L22715c200
002001.000139,He,1,He I,1s.9f,3F*,2.0,2,True,5.0,24.4194247912483,True,9e-13,L22715c200
002001.000140,He,1,He I,1s.9f,1F*,3.0,3,True,7.0,24.4194249403235,True,9e-13,L22715c200
002001.000141,He,1,He I,1s.9g,3G,4.0,4,True,9.0,24.4194361579319,True,4e-13,L22715c200
002001.000142,He,1,He I,1s.9g,3G,5.0,5,True,11.0,24.41943621668346,True,2.5e-13,L22715c200
002001.000143,He,1,He I,1s.9g,3G,3.0,3,True,7.0,24.4194362702203,True,4e-13,L22715c200
002001.000144,He,1,He I,1s.9g,1G,4.0,4,True,9.0,24.41943630642235,True,2.5e-13,L22715c200
002001.000145,He,1,He I,1s.9h,3H*,5.0,5,True,11.0,24.41943893748148,True,2.5e-13,L22715c200
