id_nivel,codigo_referencia
003002.000046,L3501c202
003002.000047,L3501c202
003002.000048,L3501c202
003002.000049,L3501c202
003002.000050,L3501c202
003002.000052,L3501c202
003002.000053,L3501c202
003002.000054,L3501c202
003002.000055,L3501c202
003002.000056,L3501c202
003002.000057,L3501c202
003002.000058,L3501c202
003002.000059,L3501c202
003002.000142,u46
003002.000143,u46
003002.000144,u46
003002.000145,u46
003002.000158,u46
003002.000159,u46
003002.000160,u46
003002.000161,u46
003002.000051,L6124c204
003002.000060,L3501c202
003002.000061,L3501c202
003002.000110,u45
003002.000111,u45
003002.000112,u45
003002.000063,L3501c202
003002.000064,L3501c202
003002.000065,L3501c202
003002.000066,L3501c202
003002.000067,L3501c202
003002.000068,L3501c202
003002.000069,L3501c202
003002.000070,L3501c202
003002.000146,u46
003002.000147,u46
003002.000148,u46
003002.000149,u46
003002.000162,u46
003002.000163,u46
003002.000164,u46
003002.000165,u46
003002.000174,u46
003002.000175,u46
003002.000176,u46
003002.000177,u46
003002.000062,L6124c205
003002.000062,L4191
003002.000071,L3501c202
003002.000113,u45
003002.000114,u45
003002.000115,u45
003002.000116,u45
003002.000072,L3501c202
003002.000073,L3501c202
003002.000074,L3501c202
003002.000075,L3501c202
003002.000076,L3501c202
003002.000077,L3501c202
003002.000078,L3501c202
003002.000079,L3501c202
003002.000150,u46
003002.000151,u46
003002.000152,u46
003002.000153,u46
003002.000166,u46
003002.000167,u46
003002.000168,u46
003002.000169,u46
003002.000178,u46
003002.000179,u46
003002.000180,u46
003002.000181,u46
003002.000117,u45
003002.000118,u45
003002.000119,u45
003002.000120,u45
003002.000121,u45
003002.000122,u45
003002.000131,u45
003002.000132,u45
003002.000133,u45
003002.000130,u45
003002.000080,L3501c202
003002.000081,L3501c202
003002.000082,L3501c202
003002.000154,u46
003002.000155,u46
003002.000156,u46
003002.000157,u46
003002.000170,u46
003002.000171,u46
003002.000172,u46
003002.000173,u46
003002.000083,L3501c202
003002.000123,u45
003002.000124,u45
003002.000125,u45
003002.000126,u45
