id_linea,elemento,espectro,estado_ionizacion,longitud_onda_nm,longitud_onda_vacio_nm,longitud_onda_origen,medio,longitud_onda_obs_nm,longitud_onda_ritz_nm,ritz_es_limite,incertidumbre_obs_nm,incertidumbre_ritz_nm,region_espectral,aki_s1,log10_aki,tiene_aki,fuerza_oscilador_fik,log_gf,exactitud,tipo_transicion,intensidad_valor,intensidad_bandera,energia_inferior_cm1,energia_superior_cm1,energia_inferior_interpolada,energia_superior_interpolada,energia_inferior_origen_desconocido,energia_superior_origen_desconocido,energia_foton_ev,configuracion_inferior,termino_inferior,j_inferior,j_inferior_texto,j_inferior_resuelto,g_inferior,configuracion_superior,termino_superior,j_superior,j_superior_texto,j_superior_resuelto,g_superior,id_nivel_inferior,id_nivel_superior,ref_probabilidad,ref_longitud_onda,medicion_repetida
12589,B,B I,1,1349.12,1349.4977536,ritz,aire,,1349.12,False,,0.03,Infrarrojo,3450.0,3.537819095073274,True,0.000141,-3.248,C+,E1,,,57787.0683,65197.29,False,False,False,False,0.9187503977265856,2s2.4p,2P*,1.5,3/2,True,4,2s2.8d,2D,2.5,5/2,True,6,005001.000015,005001.000117,u27,,False
12590,B,B I,1,1349.12,1349.4977536,ritz,aire,,1349.12,False,,0.03,Infrarrojo,576.0,2.760422483423212,True,1.57e-05,-4.202,C+,E1,,,57787.0683,65197.29,False,False,False,False,0.9187503977265856,2s2.4p,2P*,1.5,3/2,True,4,2s2.8d,2D,1.5,3/2,True,4,005001.000015,005001.000034,u27,,False
12591,N,N II,2,1350.128,1350.50603584,ritz,aire,,1350.128,False,,,Infrarrojo,979000.0,5.990782691803138,True,0.0191,-0.873,C+,E1,,,202861.36,210266.04,False,False,False,False,0.9180633144941012,2s2.2p.4p,3D,3.0,3,True,7,2s2.2p.4d,3D*,2.0,2,True,5,007002.000063,007002.000078,T5520LS,,False
12592,C,C I,1,1350.227238,1350.60530162664,observada,aire,1350.227238,1350.227262,False,1.9e-05,1.6e-05,Infrarrojo,6600000.0,6.819543935541868,True,0.3,-0.04,C+,E1,890000.0,,70743.97227,78148.10824,False,False,False,False,0.9179958633706222,2s2.2p.3p,3S,1.0,1,True,3,2s2.2p.4s,3P*,2.0,2,True,5,006001.000022,006001.000034,"T6070n,T4828n",L12175c183,False
12593,C,C I,1,1351.919,1352.2975373200002,ritz,aire,,1351.919,False,,0.005,Infrarrojo,59000.0,4.770852011642144,True,0.00097,-2.32,C,E1,,,81769.87089,89164.74,False,False,False,False,0.9168469191614794,2s2.2p.4p,1D,2.0,2,True,5,2s2.2p.(2P*<3/2>).8d,2[3/2]*,1.0,1,True,3,006001.000055,006001.000199,T5520,,False
12594,N,N I,1,1352.0819,1352.4604829319999,ritz,aire,,1352.0819,False,,,Infrarrojo,11100.0,4.045322978786658,True,0.000152,-3.215,C,E1,,,96750.84,104144.82,False,False,False,False,0.9167366835708071,2s2.2p2.(3P).3p,4S*,1.5,3/2,True,4,2s2.2p2.(3P).4s,2P,0.5,1/2,True,2,007001.000034,007001.000044,T7370,,False
12595,Ne,Ne I,1,1352.7073,1353.086058044,observada,aire,1352.7073,1352.7073,False,0.0004,0.0003,Infrarrojo,31500.0,4.498310553789601,True,0.00121,-2.22,C+,E1,5.0,,162899.1169,170289.6782,False,False,False,False,0.916312818791604,2s2.2p5.(2P*<3/2>).4p,2[5/2],2.0,2,True,5,2s2.2p5.(2P*<1/2>).5d,2[5/2]*,3.0,3,True,7,010001.000034,010001.000116,T6976,L9097,False
12596,N,N I,1,1353.4639,1353.842869892,ritz,aire,,1353.4639,False,,,Infrarrojo,294000.0,5.468347330412158,True,0.0054,-1.491,C,E1,,,88107.26,95493.69,False,False,False,False,0.9158006028725955,2s.2p4,4P,2.5,5/2,True,6,2s2.2p2.(3P).3p,4P*,1.5,3/2,True,4,007001.000023,007001.000032,T7370,,False
12597,Ne,Ne II,2,1354.1666,1354.5457666480002,observada,aire,1354.1666,1354.1667,False,0.0012,0.0004,Infrarrojo,,,False,,,,E1,9.0,,276511.8,283894.3965,False,False,False,False,0.9153253094478785,2s2.2p4.(1D).3p,2P*,0.5,1/2,True,2,2s2.2p4.(3P).4s,2P,0.5,1/2,True,2,010002.000027,010002.000052,,L11301,False
12598,O,O II,2,1354.223,1354.60218244,ritz,aire,,1354.223,False,,,Infrarrojo,18800000.0,7.27415784926368,True,0.776,0.492,D,E1,,,248515.3,255897.59,False,False,False,False,0.9152873082910599,2s2.2p2.(3P).4p,2P*,1.5,3/2,True,4,2s2.2p2.(3P).4d,2D,2.5,5/2,True,6,008002.000083,008002.000120,T5723LS,,False
