id_linea,id_espectro,id_nivel_inferior,id_nivel_superior,codigo_tipo_transicion,codigo_exactitud,longitud_onda_nm,longitud_onda_origen,medio,longitud_onda_obs_nm,longitud_onda_ritz_nm,ritz_es_limite,incertidumbre_obs_nm,incertidumbre_ritz_nm,aki_s1,fuerza_oscilador_fik,log_gf,intensidad_valor,intensidad_bandera,energia_inferior_cm1,energia_superior_cm1,energia_inferior_interpolada,energia_superior_interpolada,energia_inferior_origen_desconocido,energia_superior_origen_desconocido,medicion_repetida
10078,14,008002.000057,008002.000079,E1,,727.8258,observada,aire,727.8258,727.8264,False,,,,,,10.0,,232747.562,246483.317,False,False,False,False,False
10079,14,008002.000064,008002.000081,E1,D,728.0257,observada,aire,728.0257,728.0251,False,,,4590000.0,0.0365,-0.66,11.0,,234454.634,248186.64,False,False,False,False,False
10080,2,002001.000007,002001.000009,E1,AAA,728.1349,observada,aire,728.1349,728.13508,False,,4e-06,18299000.0,0.048509,-0.83705,50.0,,171134.894441,184864.826715,True,True,False,False,False
10081,9,006001.000026,006001.000098,E1,,728.611,observada,aire,728.611,728.6136,False,0.0014,0.0006,,,,2100.0,,72610.7353,86331.651,False,False,False,False,False
10082,14,008002.000054,008002.000077,E1,,728.7894,observada,aire,728.7894,728.79,False,,,,,,10.0,,232602.492,246320.086,False,False,False,False,False
10083,14,008002.000056,008002.000078,E1,,729.2129,observada,aire,729.2129,729.2124,False,,,,,,9.0,,232745.981,246455.629,False,False,False,False,False
10084,14,008002.000057,008002.000078,E1,,729.2962,observada,aire,729.2962,729.2965,False,,,,,,11.0,,232747.562,246455.629,False,False,False,False,False
10085,14,008002.000058,008002.000078,E1,,729.631,observada,aire,729.631,729.6294,False,,,,,,14.0,,232753.816,246455.629,False,False,False,False,False
10086,2,002001.000008,002001.000132,E1,AAA,729.803204,ritz,aire,,729.803204,False,,5e-06,129130.0,0.00034389,-2.98647,,,183236.789095,196935.33880189,True,True,False,False,False
10087,2,002001.000008,002001.000131,E1,AAA,729.803696,ritz,aire,,729.803696,False,,5e-06,129130.0,0.0010317,-2.50934,,,183236.789095,196935.32956383,True,True,False,False,False
