id_nivel,id_espectro,configuracion,termino,j_valor,j_texto,j_resuelto,g,energia_ev,energia_interpolada,incertidumbre_ev
002001.000048,2,1s.5g,1G,4.0,4,True,9,24.0432165311324,True,9e-13
002001.000049,2,1s.5p,1P*,1.0,1,True,3,24.04580040653,True,8e-11
002001.000050,2,1s.6s,3S,1.0,1,True,3,24.1689982232,True,8e-10
002001.000051,2,1s.6s,1S,0.0,0,True,1,24.1911602752,True,7e-10
002001.000052,2,1s.6p,3P*,2.0,2,True,5,24.20081545451,True,2.5e-10
002001.000053,2,1s.6p,3P*,1.0,1,True,3,24.20081577498,True,2.5e-10
002001.000054,2,1s.6p,3P*,0.0,0,True,1,24.20081970804,True,2.5e-10
002001.000055,2,1s.6d,3D,3.0,3,True,7,24.209163110443,True,1.6e-11
002001.000056,2,1s.6d,3D,2.0,2,True,5,24.209163157329,True,1.6e-11
002001.000057,2,1s.6d,3D,1.0,1,True,3,24.209163835045,True,1.6e-11
002001.000058,2,1s.6d,1D,2.0,2,True,5,24.209249793955,True,1.2e-11
002001.000059,2,1s.6f,3F*,3.0,3,True,7,24.209454827529,True,3e-12
002001.000060,2,1s.6f,3F*,4.0,4,True,9,24.2094550264796,True,2.1e-12
002001.000061,2,1s.6f,3F*,2.0,2,True,5,24.209455342828,True,3e-12
002001.000062,2,1s.6f,1F*,3.0,3,True,7,24.2094557657828,True,2.1e-12
002001.000063,2,1s.6g,3G,4.0,4,True,9,24.2094918821374,True,9e-13
002001.000064,2,1s.6g,3G,5.0,5,True,11,24.2094920807421,True,6e-13
002001.000065,2,1s.6g,3G,3.0,3,True,7,24.2094922614541,True,9e-13
002001.000066,2,1s.6g,1G,4.0,4,True,9,24.2094923832773,True,6e-13
002001.000067,2,1s.6h,3H*,5.0,5,True,11,24.2095005571382,True,4e-13
002001.000068,2,1s.6h,3H*,6.0,6,True,13,24.20950068659936,True,2.5e-13
002001.000069,2,1s.6h,3H*,4.0,4,True,9,24.2095008041069,True,4e-13
002001.000070,2,1s.6h,1H*,5.0,5,True,11,24.209500891788,True,2.5e-13
002001.000071,2,1s.6p,1P*,1.0,1,True,3,24.21100267716,True,5e-11
002001.000072,2,1s.7s,3S,1.0,1,True,3,24.2845660369,True,5e-10
002001.000073,2,1s.7s,1S,0.0,0,True,1,24.2982859057,True,5e-10
002001.000074,2,1s.7p,3P*,2.0,2,True,5,24.30428920147,True,1.6e-10
002001.000075,2,1s.7p,3P*,1.0,1,True,3,24.30428940164,True,1.6e-10
002001.000076,2,1s.7p,3P*,0.0,0,True,1,24.30429185947,True,1.6e-10
002001.000077,2,1s.7d,3D,3.0,3,True,7,24.3095408973,True,8e-12
002001.000078,2,1s.7d,3D,2.0,2,True,5,24.309540927161,True,8e-12
002001.000079,2,1s.7d,3D,1.0,1,True,3,24.309541353601,True,8e-12
002001.000080,2,1s.7d,1D,2.0,2,True,5,24.309597381304,True,8e-12
002001.000081,2,1s.7f,3F*,3.0,3,True,7,24.3097272911601,True,2.1e-12
002001.000082,2,1s.7f,3F*,4.0,4,True,9,24.3097274083893,True,1.6e-12
002001.000083,2,1s.7f,3F*,2.0,2,True,5,24.309727607568,True,2.1e-12
002001.000084,2,1s.7f,1F*,3.0,3,True,7,24.3097278970701,True,1.6e-12
002001.000085,2,1s.7g,3G,4.0,4,True,9,24.3097511655788,True,6e-13
002001.000086,2,1s.7g,3G,5.0,5,True,11,24.3097512905603,True,4e-13
002001.000087,2,1s.7g,3G,3.0,3,True,7,24.3097514043543,True,6e-13
002001.000088,2,1s.7g,1G,4.0,4,True,9,24.3097514811699,True,4e-13
002001.000089,2,1s.7h,3H*,5.0,5,True,11,24.30975684089325,True,2.5e-13
002001.000090,2,1s.7h,3H*,6.0,6,True,13,24.30975692242005,True,2.5e-13
002001.000091,2,1s.7h,3H*,4.0,4,True,9,24.30975699641729,True,2.5e-13
002001.000092,2,1s.7h,1H*,5.0,5,True,11,24.30975705163464,True,2.5e-13
002001.000093,2,1s.7i,3I,6.0,6,True,13,24.30975862360302,True,2.5e-13
002001.000094,2,1s.7i,3I,7.0,7,True,15,24.30975868078527,True,2.5e-13
002001.000095,2,1s.7i,3I,5.0,5,True,11,24.30975873289013,True,2.5e-13
002001.000096,2,1s.7i,1I,6.0,6,True,13,24.3097587742861,True,2.5e-13
002001.000097,2,1s.7p,1P*,1.0,1,True,3,24.31070817873,True,3e-11
002001.000098,2,1s.8s,3S,1.0,1,True,3,24.358104144,True,3e-10
002001.000099,2,1s.8s,1S,0.0,0,True,1,24.3671800778,True,3e-10
002001.000100,2,1s.8p,3P*,2.0,2,True,5,24.37116588077,True,1.2e-10
002001.000101,2,1s.8p,3P*,1.0,1,True,3,24.37116601407,True,1.2e-10
002001.000102,2,1s.8p,3P*,0.0,0,True,1,24.37116765163,True,1.2e-10
002001.000103,2,1s.8d,3D,3.0,3,True,7,24.374680880069,True,8e-12
