Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""1s.2s2.2p""","=""1P*""","=""1""",3,"=""""","=""115.47""","=""a""","=""0.05""","=""004001.000179""","=""L9172"""
"=""1s.(2S).2s.2p2.(4P)""","=""5P""","=""3""",7,"=""""","=""115.53""","=""+x""","=""0.04""","=""004001.000182""","=""L9172"""
"=""1s.(2S).2s.2p2.(4P)""","=""5P""","=""2""",5,"=""""","=""115.53""","=""+x""","=""0.04""","=""004001.000181""","=""L9172"""
"=""1s.(2S).2s.2p2.(4P)""","=""5P""","=""1""",3,"=""""","=""115.53""","=""+x""","=""0.04""","=""004001.000180""","=""L9172"""
"=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""2""",5,"=""""","=""118.16""","=""a""","=""0.10""","=""004001.000185""","=""L9172"""
"=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""1""",3,"=""""","=""118.16""","=""a""","=""0.10""","=""004001.000184""","=""L9172"""
"=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""0""",1,"=""""","=""118.16""","=""a""","=""0.10""","=""004001.000183""","=""L9172"""
"=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""3""",7,"=""""","=""118.32""","=""a""","=""0.14""","=""004001.000188""","=""L9172"""
"=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""2""",5,"=""""","=""118.32""","=""a""","=""0.10""","=""004001.000187""","=""L9172"""
"=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""1""",3,"=""""","=""118.32""","=""a""","=""0.07""","=""004001.000186""","=""L9172"""
"=""1s.(2S).2s.2p2.(2S)""","=""3S""","=""1""",3,"=""""","=""119.913""","=""a""","=""0.022""","=""004001.000189""","=""L9172"""
"=""1s.(2S).2s.2p2.(2P)""","=""3P""","=""2""",5,"=""""","=""121.18""","=""a""","=""0.04""","=""004001.000192""","=""L9172"""
"=""1s.(2S).2s.2p2.(2P)""","=""3P""","=""1""",3,"=""""","=""121.18""","=""a""","=""0.04""","=""004001.000191""","=""L9172"""
"=""1s.(2S).2s.2p2.(2P)""","=""3P""","=""0""",1,"=""""","=""121.18""","=""a""","=""0.05""","=""004001.000190""","=""L9172"""
"=""1s.2s2.3p""","=""1P*""","=""1""",3,"=""""","=""121.398""","=""a""","=""0.024""","=""004001.000193""","=""L9172"""
"=""1s.(2S).2p3.(4S*)""","=""5S*""","=""2""",5,"=""""","=""122.02""","=""+x""","=""0.04""","=""004001.000194""","=""L9172"""
"=""1s.(2S).2s.2p2.(2P)""","=""1P""","=""1""",3,"=""""","=""122.24""","=""a""","=""0.20""","=""004001.000195""","=""L9172"""
