Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Level ID,Reference
"=""2p2.(3P).3p""","=""4D*""","=""7/2""",8,"=""""","=""33.193""","=""""","=""0.003""","=""""","=""  98                                             ""","=""006002.000312""","=""L22145"""
"=""2p2.(3P).3p""","=""4P*""","=""1/2""",2,"=""""","=""33.428""","=""""","=""0.003""","=""""","=""  98                                             ""","=""006002.000313""","=""L22145"""
"=""2p2.(3P).3p""","=""4P*""","=""3/2""",4,"=""""","=""33.430""","=""""","=""0.003""","=""""","=""  98                                             ""","=""006002.000314""","=""L22145"""
"=""2p2.(3P).3p""","=""4P*""","=""5/2""",6,"=""""","=""33.433""","=""""","=""0.003""","=""""","=""  98                                             ""","=""006002.000315""","=""L22145"""
"=""2p2.(1D).3s""","=""2D""","=""3/2""",4,"=""""","=""33.53""","=""""","=""0.03""","=""""","=""  91         :     3  2s.2p.(1P*).4p        2D   ""","=""006002.000316""","=""L22145"""
"=""2p2.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""33.53""","=""""","=""0.03""","=""""","=""  91         :     3  2s.2p.(1P*).4p        2D   ""","=""006002.000317""","=""L22145"""
"=""2s.2p.(1P*).5p""","=""2D""","=""3/2""",4,"=""""","=""34.485""","=""""","=""0.016""","=""""","=""  99                                             ""","=""006002.000321""","=""L22145"""
"=""2s.2p.(1P*).5p""","=""2D""","=""5/2""",6,"=""""","=""34.485""","=""""","=""0.015""","=""""","=""  99                                             ""","=""006002.000322""","=""L22145"""
"=""2s.2p.(1P*).5p""","=""2S""","=""1/2""",2,"=""""","=""34.556""","=""""","=""0.016""","=""""","=""  99                                             ""","=""006002.000086""","=""L22145"""
"=""2p2.(3P).3d""","=""2P""","=""3/2""",4,"=""""","=""34.934""","=""""","=""0.015""","=""""","=""  98                                             ""","=""006002.000325""","=""L22145"""
"=""2p2.(3P).3d""","=""2P""","=""1/2""",2,"=""""","=""34.939""","=""""","=""0.015""","=""""","=""  98                                             ""","=""006002.000324""","=""L22145"""
"=""2s.2p.(1P*).6p""","=""2D""","=""3/2""",4,"=""""","=""35.345""","=""""","=""0.016""","=""""","=""  99                                             ""","=""006002.000327""","=""L22145"""
"=""2s.2p.(1P*).6p""","=""2D""","=""5/2""",6,"=""""","=""35.345""","=""""","=""0.016""","=""""","=""  99                                             ""","=""006002.000328""","=""L22145"""
"=""2s.2p.(1P*).6p""","=""2S""","=""1/2""",2,"=""""","=""35.35""","=""""","=""0.05""","=""""","=""  99                                             ""","=""006002.000238""","=""L22145"""
"=""2p2.(3P).3d""","=""2D""","=""3/2""",4,"=""""","=""35.544""","=""""","=""0.015""","=""""","=""  91         :     6  2s.2p.(1P*).6f        2D   ""","=""006002.000329""","=""L22145"""
"=""2p2.(3P).3d""","=""2D""","=""5/2""",6,"=""""","=""35.546""","=""""","=""0.015""","=""""","=""  85         :    12  2s.2p.(1P*).6f        2D   ""","=""006002.000330""","=""L22145"""
"=""2s.2p.(1P*).7p""","=""2D""","=""3/2""",4,"=""""","=""35.805""","=""""","=""0.016""","=""""","="" 100                                             ""","=""006002.000332""","=""L22145"""
"=""2s.2p.(1P*).7p""","=""2D""","=""5/2""",6,"=""""","=""35.805""","=""""","=""0.016""","=""""","="" 100                                             ""","=""006002.000333""","=""L22145"""
"=""2s.2p.(1P*).7p""","=""2S""","=""1/2""",2,"=""""","=""35.81""","=""""","=""0.05""","=""""","="" 100                                             ""","=""006002.000244""","=""L22145"""
"=""2s.2p.(1P*).8p""","=""2D""","=""3/2""",4,"=""""","=""36.115""","=""""","=""0.016""","=""""","="" 100                                             ""","=""006002.000334""","=""L22145"""
"=""2s.2p.(1P*).8p""","=""2D""","=""5/2""",6,"=""""","=""36.115""","=""""","=""0.016""","=""""","="" 100                                             ""","=""006002.000251""","=""L22145"""
"=""2s.2p.(1P*).8p""","=""2S""","=""1/2""",2,"=""""","=""36.12""","=""""","=""0.04""","=""""","="" 100                                             ""","=""006002.000248""","=""L22145"""
"=""2p2.(3P).4d""","=""2D""","=""3/2""",4,"=""""","=""38.014""","=""""","=""0.020""","=""""","=""  95         :     2  2p2.(3P).5d           2D   ""","=""006002.000339""","=""L22145"""
"=""2p2.(3P).4d""","=""2D""","=""5/2""",6,"=""""","=""38.016""","=""""","=""0.020""","=""""","=""  95         :     2  2p2.(3P).5d           2D   ""","=""006002.000340""","=""L22145"""
"=""2p2.(3P).5s""","=""2P""","=""1/2""",2,"=""""","=""38.67""","=""""","=""0.10""","=""""","=""  96                                             ""","=""006002.000341""","=""L22145"""
"=""2p2.(3P).5s""","=""2P""","=""3/2""",4,"=""""","=""38.68""","=""""","=""0.10""","=""""","=""  96                                             ""","=""006002.000342""","=""L22145"""
"=""2p2.(3P).5d""","=""2D""","=""3/2""",4,"=""""","=""39.25""","=""""","=""0.05""","=""""","=""  94         :     2  2p2.(3P).6d           2D   ""","=""006002.000343""","=""L22145"""
"=""2p2.(3P).5d""","=""2D""","=""5/2""",6,"=""""","=""39.26""","=""""","=""0.05""","=""""","=""  94         :     2  2p2.(3P).6d           2D   ""","=""006002.000344""","=""L22145"""
"=""2p2.(1D).4d""","=""2D""","=""3/2""",4,"=""""","=""39.61""","=""""","=""0.10""","=""""","=""  98                                             ""","=""006002.000345""","=""L22145"""
"=""2p2.(1D).4d""","=""2D""","=""5/2""",6,"=""""","=""39.61""","=""""","=""0.10""","=""""","=""  98                                             ""","=""006002.000346""","=""L22145"""
"=""2p2.(1D).4d""","=""2S""","=""1/2""",2,"=""""","=""39.86""","=""""","=""0.05""","=""""","=""  95                                             ""","=""006002.000347""","=""L22145"""
"=""2s.3p2.(3P)""","=""2P""","=""1/2""",2,"=""""","=""46.36""","=""""","=""0.14""","=""""","="" 100                                             ""","=""006002.000348""","=""L22145"""
"=""2s.3p2.(3P)""","=""2P""","=""3/2""",4,"=""""","=""46.37""","=""""","=""0.14""","=""""","=""  98                                             ""","=""006002.000349""","=""L22145"""
"=""2s.3s.(1S).3d""","=""2D""","=""3/2""",4,"=""""","=""46.37""","=""""","=""0.14""","=""""","=""  65         :    23  2s.3s.(3S).3d         2D   ""","=""006002.000350""","=""L22145"""
"=""2s.3s.(1S).3d""","=""2D""","=""5/2""",6,"=""""","=""46.37""","=""""","=""0.14""","=""""","=""  66         :    23  2s.3s.(3S).3d         2D   ""","=""006002.000351""","=""L22145"""
"=""2s.3p2.(1D)""","=""2D""","=""3/2""",4,"=""""","=""47.76""","=""""","=""0.10""","=""""","=""  50         :    27  2s.3s.(3S).3d         2D   ""","=""006002.000353""","=""L22145"""
"=""2s.3p2.(1D)""","=""2D""","=""5/2""",6,"=""""","=""47.76""","=""""","=""0.10""","=""""","=""  50         :    27  2s.3s.(3S).3d         2D   ""","=""006002.000354""","=""L22145"""
"=""1s.2s2.2p2""","=""2D""","=""3/2""",4,"=""""","=""287.94""","=""""","=""0.03""","=""""","=""  98         :     2  1s.2p4                2D   ""","=""006002.000355""","=""L22145"""
"=""1s.2s2.2p2""","=""2D""","=""5/2""",6,"=""""","=""287.94""","=""""","=""0.03""","=""""","=""  98         :     2  1s.2p4                2D   ""","=""006002.000356""","=""L22145"""
"=""1s.2s2.2p2""","=""2P""","=""1/2""",2,"=""""","=""288.41""","=""""","=""0.03""","=""""","=""  98         :     2  1s.2p4                2P   ""","=""006002.000357""","=""L22145"""
"=""1s.2s2.2p2""","=""2P""","=""3/2""",4,"=""""","=""288.42""","=""""","=""0.03""","=""""","=""  98         :     2  1s.2p4                2P   ""","=""006002.000358""","=""L22145"""
"=""1s.2s2.2p2""","=""2S""","=""1/2""",2,"=""""","=""289.91""","=""""","=""0.03""","=""""","=""  93         :     7  1s.2p4                2S   ""","=""006002.000359""","=""L22145"""
"=""1s.2s.(3S). 2p3.(4S*)""","=""4S*""","=""3/2""",4,"=""""","=""292.54""","=""""","=""0.03""","=""""","=""  52         :    48  1s.2s.(1S). 2p3.(4S*) 4S*  ""","=""006002.000360""","=""L22145"""
"=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""1/2""",2,"=""""","=""292.67""","=""""","=""0.03""","=""""","="" 100                                             ""","=""006002.000361""","=""L22145"""
"=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""3/2""",4,"=""""","=""292.67""","=""""","=""0.03""","=""""","="" 100                                             ""","=""006002.000362""","=""L22145"""
"=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""5/2""",6,"=""""","=""292.67""","=""""","=""0.03""","=""""","="" 100                                             ""","=""006002.000363""","=""L22145"""
"=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""7/2""",8,"=""""","=""292.67""","=""""","=""0.03""","=""""","="" 100                                             ""","=""006002.000364""","=""L22145"""
"=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""1/2""",2,"=""""","=""294.77""","=""""","=""0.03""","=""""","="" 100                                             ""","=""006002.000365""","=""L22145"""
"=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""3/2""",4,"=""""","=""294.77""","=""""","=""0.03""","=""""","="" 100                                             ""","=""006002.000366""","=""L22145"""
"=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""5/2""",6,"=""""","=""294.77""","=""""","=""0.03""","=""""","="" 100                                             ""","=""006002.000367""","=""L22145"""
