Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Level ID,Reference
"=""2s2.2p.(2P*<3/2>).12d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.173440""","=""""","=""0.000019""","=""""","=""  76         :    22  2s2.2p.(2P*<3/2>).13s 2[3/2]* ""","=""006001.000237""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).14s""","=""2[1/2]*""","=""1""",3,"=""""","=""11.1788""","=""""","=""0.0003""","=""""","=""  99                                                ""","=""006001.000353""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).14s""","=""2[1/2]*""","=""0""",1,"=""""","=""11.17921""","=""""","=""0.00021""","=""""","=""  99                                                ""","=""006001.000354""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).13d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.17911""","=""""","=""0.00004""","=""""","=""  99                                                ""","=""006001.000238""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).13d""","=""2[3/2]*""","=""2""",5,"=""""","=""11.17921""","=""""","=""0.00021""","=""""","=""  90         :     8  2s2.2p.(2P*<1/2>).13d 2[5/2]* ""","=""006001.000355""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).13d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.179408""","=""""","=""0.000016""","=""""","=""  99                                                ""","=""006001.000239""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).13d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.18693""","=""""","=""0.00021""","=""""","=""  77         :    22  2s2.2p.(2P*<3/2>).13d 2[7/2]* ""","=""006001.000356""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).13d""","=""2[5/2]*""","=""2""",5,"=""""","=""11.18697""","=""""","=""0.00012""","=""""","=""  83         :    13  2s2.2p.(2P*<3/2>).13d 2[3/2]* ""","=""006001.000357""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).14s""","=""2[3/2]*""","=""1""",3,"=""""","=""11.187064""","=""""","=""0.000024""","=""""","=""  44         :    39  2s2.2p.(2P*<3/2>).13d 2[1/2]* ""","=""006001.000240""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).13d""","=""2[1/2]*""","=""1""",3,"=""""","=""11.1871""","=""""","=""0.0004""","=""""","=""  57         :    37  2s2.2p.(2P*<3/2>).14s 2[3/2]* ""","=""006001.000358""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).13d""","=""2[1/2]*""","=""0""",1,"=""""","=""11.1871""","=""""","=""0.0004""","=""""","=""  97                                                ""","=""006001.000359""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).13d""","=""2[3/2]*""","=""2""",5,"=""""","=""11.18711""","=""""","=""0.00005""","=""""","=""  46         :    42  2s2.2p.(2P*<3/2>).14s 2[3/2]* ""","=""006001.000360""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).13d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.187362""","=""""","=""0.000019""","=""""","=""  81         :    18  2s2.2p.(2P*<3/2>).14s 2[3/2]* ""","=""006001.000242""","=""L20057"""
