Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""1s2.10p""","=""2P*""","=""3/2""",4,"=""[""","=""17.661468""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000071""","=""L12158"""
"=""1s2.10f""","=""2F*""","=""7/2""",8,"=""[""","=""17.666921""","=""]""","=""0.000007""","="" 100                                           ""","=""004002.000073""","=""L12158"""
"=""1s2.10f""","=""2F*""","=""5/2""",6,"=""[""","=""17.666921""","=""]""","=""0.000007""","="" 100                                           ""","=""004002.000072""","=""L12158"""
"=""1s2.10g""","=""2G""","=""9/2""",10,"=""[""","=""17.666949""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000075""","=""L12158"""
"=""1s2.10g""","=""2G""","=""7/2""",8,"=""[""","=""17.666949""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000074""","=""L12158"""
"=""1s2.10h""","=""2H*""","=""11/2""",12,"=""[""","=""17.666955""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000077""","=""L12158"""
"=""1s2.10h""","=""2H*""","=""9/2""",10,"=""[""","=""17.666955""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000076""","=""L12158"""
"=""Be III (1s2 1S<0>)""","=""Limit""","=""---""",,"=""""","=""18.21115""","=""""","=""0.00004""","=""                                               ""","=""004002.Lim001""","=""L12158"""
"=""1s.2s2""","=""2S""","=""1/2""",2,"=""""","=""114.31""","=""a""","=""0.10""","=""  88         :    12  1s.2p2              2S   ""","=""004002.000079""","=""L12158"""
"=""1s.2s.2p""","=""4P*""","=""5/2""",6,"=""""","=""115.8748""","=""+x""","=""0.004""","="" 100                                           ""","=""004002.000082""","=""L12158"""
"=""1s.2s.2p""","=""4P*""","=""3/2""",4,"=""""","=""115.8748""","=""+x""","=""0.004""","="" 100                                           ""","=""004002.000081""","=""L12158"""
"=""1s.2s.2p""","=""4P*""","=""1/2""",2,"=""""","=""115.8748""","=""+x""","=""0.004""","="" 100                                           ""","=""004002.000080""","=""L12158"""
"=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""",4,"=""""","=""118.748""","=""a""","=""0.012""","=""  95         :     5  1s.(2S).2s.2p.(1P*) 2P*  ""","=""004002.000084""","=""L12158"""
"=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""",2,"=""""","=""118.748""","=""a""","=""0.012""","=""  95         :     5  1s.(2S).2s.2p.(1P*) 2P*  ""","=""004002.000083""","=""L12158"""
"=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",4,"=""""","=""120.98""","=""a""","=""0.04""","=""  94         :     5  1s.(2S).2s.2p.(3P*) 2P*  ""","=""004002.000086""","=""L12158"""
"=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""",2,"=""""","=""120.98""","=""a""","=""0.04""","=""  94         :     5  1s.(2S).2s.2p.(3P*) 2P*  ""","=""004002.000085""","=""L12158"""
"=""1s.2p2""","=""4P""","=""5/2""",6,"=""""","=""121.2067""","=""+x""","=""0.004""","="" 100                                           ""","=""004002.000089""","=""L12158"""
"=""1s.2p2""","=""4P""","=""3/2""",4,"=""""","=""121.2067""","=""+x""","=""0.004""","="" 100                                           ""","=""004002.000088""","=""L12158"""
"=""1s.2p2""","=""4P""","=""1/2""",2,"=""""","=""121.2067""","=""+x""","=""0.004""","="" 100                                           ""","=""004002.000087""","=""L12158"""
"=""1s.2p2""","=""2D""","=""5/2""",6,"=""""","=""122.418""","=""a""","=""0.012""","=""  96         :     2  1s.2s.(3S).3d       2D   ""","=""004002.000091""","=""L12158"""
