Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""2s2.2p4.(3P).6p""","=""4D*""","=""7/2""",8,"=""""","=""39.0674208""","=""""","=""0.0000004""","="" 100                                                              ""","=""010002.000192""","=""L9088"""
"=""2s2.2p4.(3P).6p""","=""4D*""","=""5/2""",6,"=""""","=""39.1456464""","=""""","=""0.0000005""","=""  56                            :    30  2s2.2p4.(3P).6p    2D*   ""","=""010002.000196""","=""L9088"""
"=""2s2.2p4.(3P).6p""","=""4D*""","=""1/2""",2,"=""""","=""39.1568211""","=""""","=""0.0000005""","=""  68                            :    23  2s2.2p4.(3P).6p    2S*   ""","=""010002.000197""","=""L9088"""
"=""2s2.2p4.(3P).6p""","=""2D*""","=""5/2""",6,"=""""","=""39.0801608""","=""""","=""0.0000005""","=""  69                            :    28  2s2.2p4.(3P).6p    4D*   ""","=""010002.000193""","=""L9088"""
"=""2s2.2p4.(3P).6p""","=""2D*""","=""3/2""",4,"=""""","=""39.1855257""","=""""","=""0.0000005""","=""  47                            :    14  2s2.2p4.(3P).6p    4D*   ""","=""010002.000199""","=""L9088"""
"=""2s2.2p4.(3P).6p""","=""2S*""","=""1/2""",2,"=""""","=""39.0849488""","=""""","=""0.0000005""","=""  45  4P*                       :    32  2s2.2p4.(3P).6p    2S*   ""","=""010002.000194""","=""L9088"""
"=""2s2.2p4.(3P).6p""","=""4S*""","=""3/2""",4,"=""""","=""39.1609808""","=""""","=""0.0000005""","=""  53                            :    30  2s2.2p4.(3P).6p    2D*   ""","=""010002.000198""","=""L9088"""
"=""2s2.2p4.(1D).4p""","=""2F*""","=""5/2""",6,"=""""","=""39.2883828""","=""""","=""0.0000004""","="" 100                                                              ""","=""010002.000200""","=""L9088"""
"=""2s2.2p4.(1D).4p""","=""2F*""","=""7/2""",8,"=""""","=""39.2902410""","=""""","=""0.0000004""","="" 100                                                              ""","=""010002.000201""","=""L9088"""
"=""2s2.2p4.(1D).4p""","=""2P*""","=""3/2""",4,"=""""","=""39.3852054""","=""""","=""0.0000004""","=""  63                            :    13  2s2.2p4.(3P).7p    2P*   ""","=""010002.000202""","=""L9088"""
"=""2s2.2p4.(1D).4p""","=""2P*""","=""1/2""",2,"=""""","=""39.4056886""","=""""","=""0.0000004""","=""  65                            :    17  2s2.2p4.(3P).6p    2P*   ""","=""010002.000205""","=""L9088"""
"=""2s2.2p4.(1D).4p""","=""2D*""","=""5/2""",6,"=""""","=""39.3998727""","=""""","=""0.0000006""","="" 100                                                              ""","=""010002.000203""","=""L9088"""
"=""2s2.2p4.(1D).4p""","=""2D*""","=""3/2""",4,"=""""","=""39.3999177""","=""""","=""0.0000007""","=""  94                                                              ""","=""010002.000204""","=""L9088"""
"=""2s2.2p4.(3P).6d""","=""4D""","=""7/2""",8,"=""""","=""39.4071606""","=""""","=""0.0000005""","=""  74                            :    22  2s2.2p4.(3P).6d    4F    ""","=""010002.000206""","=""L9088"""
"=""2s2.2p4.(3P).6d""","=""4D""","=""5/2""",6,"=""""","=""39.4098958""","=""""","=""0.0000006""","=""  69                            :    18  2s2.2p4.(3P).6d    4P    ""","=""010002.000207""","=""L9088"""
