Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""1s2""","=""1S""","=""0""",1,"=""[""","=""0.00000000""","=""]""","=""0.00000015""","=""002001.000001""","=""L22715"""
"=""1s.2s""","=""3S""","=""1""",3,"=""[""","=""19.819614525""","=""]""","=""0.000000005""","=""002001.000002""","=""L22715c200,L20736"""
"=""1s.2s""","=""1S""","=""0""",1,"=""[""","=""20.615774823""","=""]""","=""0.000000008""","=""002001.000003""","=""L22715c200,L20736"""
"=""1s.2p""","=""3P*""","=""2""",5,"=""[""","=""20.96408688908""","=""]""","=""0.000000003""","=""002001.000004""","=""L22715c200,L20736"""
"=""1s.2p""","=""3P*""","=""1""",3,"=""[""","=""20.96409636464""","=""]""","=""0.000000003""","=""002001.000005""","=""L22715c200,L20736"""
"=""1s.2p""","=""3P*""","=""0""",1,"=""[""","=""20.96421885051""","=""]""","=""0.000000003""","=""002001.000006""","=""L22715c200,L20736"""
"=""1s.2p""","=""1P*""","=""1""",3,"=""[""","=""21.2180227112""","=""]""","=""0.0000000016""","=""002001.000007""","=""L22715c200,L20736"""
"=""1s.3s""","=""3S""","=""1""",3,"=""[""","=""22.718466419""","=""]""","=""0.000000008""","=""002001.000008""","=""L22715c200"""
"=""1s.3s""","=""1S""","=""0""",1,"=""[""","=""22.920317359""","=""]""","=""0.000000004""","=""002001.000009""","=""L22715c200"""
"=""1s.3p""","=""3P*""","=""2""",5,"=""[""","=""23.00707314571""","=""]""","=""0.00000000004""","=""002001.000010""","=""L22715c200"""
"=""1s.3p""","=""3P*""","=""1""",3,"=""[""","=""23.0070758719""","=""]""","=""0.0000000004""","=""002001.000011""","=""L22715c200"""
"=""1s.3p""","=""3P*""","=""0""",1,"=""[""","=""23.0071094335""","=""]""","=""0.0000000004""","=""002001.000012""","=""L22715c200"""
"=""1s.3d""","=""3D""","=""3""",7,"=""[""","=""23.07365070854""","=""]""","=""0.00000000010""","=""002001.000013""","=""L22715c200,L21466"""
"=""1s.3d""","=""3D""","=""2""",5,"=""[""","=""23.07365101981""","=""]""","=""0.00000000010""","=""002001.000014""","=""L22715c200,L21466"""
"=""1s.3d""","=""3D""","=""1""",3,"=""[""","=""23.07365649967""","=""]""","=""0.00000000010""","=""002001.000015""","=""L22715c200,L21466"""
"=""1s.3d""","=""1D""","=""2""",5,"=""[""","=""23.07407479777""","=""]""","=""0.00000000008""","=""002001.000016""","=""L22715c200,L21466"""
"=""1s.3p""","=""1P*""","=""1""",3,"=""[""","=""23.08701852960""","=""]""","=""0.00000000021""","=""002001.000017""","=""L22715c200"""
"=""1s.4s""","=""3S""","=""1""",3,"=""[""","=""23.593958713""","=""]""","=""0.000000003""","=""002001.000018""","=""L22715c200"""
