element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,ID_i,ID_k,
H,1,"=""""","=""""","=""656.275181""","=""0.000003""","=""""","=""2.1046e+06""","=""1.3597e-02""","=""-1.56553""",AAA,"=""82258.9191133""","=""97492.221701""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""","=""001001.001.000002""","=""001001.001.000006""",
H,1,"=""""","=""""","=""656.276701""","=""0.000003""","=""""","=""""","=""""","=""""",,"=""82258.9543992821""","=""97492.221701""","=""2s""","=""2S""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""""","=""001001.001.000003""","=""001001.001.000006""",
H,1,"=""""","=""""","=""656.2770""","=""0.0006""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c66""","=""""","=""""",
H,1,"=""656.277153""","=""0.000003""","=""656.277153""","=""0.000003""","=""""","=""2.2449e+07""","=""1.4503e-01""","=""-0.53750""",AAA,"=""82258.9543992821""","=""97492.211200""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L6891c38""","=""001001.001.000003""","=""001001.001.000005""",
H,1,"=""656.279""","=""0.003""","=""656.2819""","=""0.0007""","=""500000""","=""4.4101e+07""","=""6.4108e-01""","=""0.71000""",AAA,"=""82259.158""","=""97492.304""","=""2""","=""""","=""""","=""3""","=""""","=""""",8,18,,"=""T8637""","=""L7400c29""","=""001001.001.000059""","=""001001.001.000060""",
H,1,"=""""","=""""","=""656.2795""","=""0.0009""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c69""","=""""","=""""",
H,1,"=""656.285175""","=""0.000007""","=""656.285177""","=""0.000003""","=""""","=""6.4651e+07""","=""6.2654e-01""","=""0.39901""",AAA,"=""82259.2850014""","=""97492.355566""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""L2752""","=""001001.001.000004""","=""001001.001.000009""",
H,1,"=""""","=""""","=""656.28533""","=""0.00003""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c71""","=""""","=""""",
H,1,"=""""","=""""","=""656.2854""","=""0.0003""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c70""","=""""","=""""",
H,1,"=""""","=""""","=""656.286734""","=""0.000003""","=""""","=""1.0775e+07""","=""6.9615e-02""","=""-0.55524""",AAA,"=""82259.2850014""","=""97492.319433""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""","=""001001.001.000004""","=""001001.001.000007""",
