espectro,Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference,Lande
He I,"=""1s.4f""","=""3F*""","=""3""",7.0,"=""[""","=""23.737006806968""","=""]""","=""0.000000000008""",,"=""002001.000027""","=""L22715c200""",
He I,"=""1s.4f""","=""3F*""","=""4""",9.0,"=""[""","=""23.737007692183""","=""]""","=""0.000000000006""",,"=""002001.000028""","=""L22715c200""",
He I,"=""1s.4f""","=""3F*""","=""2""",5.0,"=""[""","=""23.737008760725""","=""]""","=""0.000000000008""",,"=""002001.000029""","=""L22715c200""",
He I,"=""1s.4f""","=""1F*""","=""3""",7.0,"=""[""","=""23.737009722091""","=""]""","=""0.000000000006""",,"=""002001.000030""","=""L22715c200""",
He I,"=""1s.4p""","=""1P*""","=""1""",3.0,"=""[""","=""23.74207006880""","=""]""","=""0.00000000016""",,"=""002001.000031""","=""L22715c200""",
He I,"=""1s.5s""","=""3S""","=""1""",3.0,"=""[""","=""23.9719714182""","=""]""","=""0.0000000016""",,"=""002001.000032""","=""L22715c200""",
He I,"=""1s.5s""","=""1S""","=""0""",1.0,"=""[""","=""24.0112149898""","=""]""","=""0.0000000012""",,"=""002001.000033""","=""L22715c200""",
He I,"=""1s.5p""","=""3P*""","=""2""",5.0,"=""[""","=""24.0282250640""","=""]""","=""0.0000000005""",,"=""002001.000034""","=""L22715c200""",
He I,"=""1s.5p""","=""3P*""","=""1""",3.0,"=""[""","=""24.0282256244""","=""]""","=""0.0000000005""",,"=""002001.000035""","=""L22715c200""",
He I,"=""1s.5p""","=""3P*""","=""0""",1.0,"=""[""","=""24.0282324989""","=""]""","=""0.0000000005""",,"=""002001.000036""","=""L22715c200""",
He I,"=""1s.5d""","=""3D""","=""3""",7.0,"=""[""","=""24.042662242088""","=""]""","=""0.000000000025""",,"=""002001.000037""","=""L22715c200,L21466""",
He I,"=""1s.5d""","=""3D""","=""2""",5.0,"=""[""","=""24.042662321526""","=""]""","=""0.000000000025""",,"=""002001.000038""","=""L22715c200,L21466""",
He I,"=""1s.5d""","=""3D""","=""1""",3.0,"=""[""","=""24.042663494166""","=""]""","=""0.000000000025""",,"=""002001.000039""","=""L22715c200,L21466""",
He I,"=""1s.5d""","=""1D""","=""2""",5.0,"=""[""","=""24.042803412125""","=""]""","=""0.000000000021""",,"=""002001.000040""","=""L22715c200,L21466""",
He I,"=""1s.5f""","=""3F*""","=""3""",7.0,"=""[""","=""24.043154084167""","=""]""","=""0.000000000005""",,"=""002001.000041""","=""L22715c200""",
He I,"=""1s.5f""","=""3F*""","=""4""",9.0,"=""[""","=""24.043154465835""","=""]""","=""0.000000000004""",,"=""002001.000042""","=""L22715c200""",
He I,"=""1s.5f""","=""3F*""","=""2""",5.0,"=""[""","=""24.043155012649""","=""]""","=""0.000000000005""",,"=""002001.000043""","=""L22715c200""",
He I,"=""1s.5f""","=""1F*""","=""3""",7.0,"=""[""","=""24.043155648442""","=""]""","=""0.000000000004""",,"=""002001.000044""","=""L22715c200""",
He I,"=""1s.5g""","=""3G""","=""4""",9.0,"=""[""","=""24.0432156651818""","=""]""","=""0.0000000000012""",,"=""002001.000045""","=""L22715c200""",
He I,"=""1s.5g""","=""3G""","=""5""",11.0,"=""[""","=""24.0432160086825""","=""]""","=""0.0000000000009""",,"=""002001.000046""","=""L22715c200""",
He I,"=""1s.5g""","=""3G""","=""3""",7.0,"=""[""","=""24.0432163209841""","=""]""","=""0.0000000000012""",,"=""002001.000047""","=""L22715c200""",
He I,"=""1s.5g""","=""1G""","=""4""",9.0,"=""[""","=""24.0432165311324""","=""]""","=""0.0000000000009""",,"=""002001.000048""","=""L22715c200""",
He I,"=""1s.5p""","=""1P*""","=""1""",3.0,"=""[""","=""24.04580040653""","=""]""","=""0.00000000008""",,"=""002001.000049""","=""L22715c200""",
He I,"=""1s.6s""","=""3S""","=""1""",3.0,"=""[""","=""24.1689982232""","=""]""","=""0.0000000008""",,"=""002001.000050""","=""L22715c200""",
He I,"=""1s.6s""","=""1S""","=""0""",1.0,"=""[""","=""24.1911602752""","=""]""","=""0.0000000007""",,"=""002001.000051""","=""L22715c200""",
He I,"=""1s.6p""","=""3P*""","=""2""",5.0,"=""[""","=""24.20081545451""","=""]""","=""0.00000000025""",,"=""002001.000052""","=""L22715c200""",
